config_index,K_Eh,Vavg_Eh,Etotal_Eh
174,0.00042736113549962586,-76.46175929161667,-76.46133193048118
175,0.00042740127666778926,-76.46353560592665,-76.46310820464998
176,0.0004273957816373786,-76.46192127133,-76.46149387554836
177,0.0004274123469159032,-76.46185845245002,-76.4614310401031
178,0.00042738595552424243,-76.46378349822999,-76.46335611227447
179,0.00042733979240862314,-76.46126000888667,-76.46083266909426
180,0.00042740478836159165,-76.46324127332,-76.46281386853163
181,0.00042744959066004447,-76.46317235369665,-76.46274490410599
182,0.0004274291320377228,-76.46196996200334,-76.4615425328713
183,0.00042745544480854913,-76.4604372316333,-76.4600097761885
184,0.00042741681953221343,-76.46300580697668,-76.46257839015715
185,0.0004274015493284604,-76.46256856956002,-76.46214116801069
186,0.0004274228645311455,-76.46177560545,-76.46134818258547
187,0.00042739878909426346,-76.46188636767998,-76.46145896889088
188,0.0004273955486726831,-76.45831858243334,-76.45789118688467
189,0.00042748318670287775,-76.46418881734667,-76.46376133415997
190,0.0004273874462284586,-76.46204145553,-76.46161406808378
191,0.0004274083044739516,-76.46142826173333,-76.46100085342886
192,0.00042742465320137545,-76.4624638153533,-76.4620363907001
193,0.0004274215933746753,-76.46175703942,-76.46132961782662
194,0.00042736481358117835,-76.45949774986335,-76.45907038504977
195,0.00042744417720547764,-76.46179971036334,-76.46137226618613
196,0.0004274213524161263,-76.46229567333333,-76.46186825198092
197,0.00042741468160686636,-76.46198316333667,-76.46155574865506
198,0.0004273533414119973,-76.46027181803335,-76.45984446469194
199,0.0004273904356951861,-76.46077510534666,-76.46034771491097
200,0.00042739346971055976,-76.46340766631333,-76.46298027284362
201,0.0004274313704435674,-76.46208407588,-76.46165664450956
202,0.00042739298620508414,-76.46277232753667,-76.46234493455046
203,0.0004274081569547503,-76.46318749250668,-76.46276008434972
204,0.00042738904887991576,-76.46042298267999,-76.4599955936311
205,0.00042741008749440026,-76.46111932639666,-76.46069191630916
206,0.0004274051182337614,-76.46150009030666,-76.46107268518843
207,0.00042737356090867665,-76.46144395067998,-76.46101657711907
208,0.0004274136469103304,-76.45948542788666,-76.45905801423976
